Delaware,1798,33
Delaware,1800,2
Delaware,1801,3
Delaware,1804,4
Delaware,1809,25
Delaware,1810,23
Delaware,1817,14
Delaware,1818,31
Delaware,1822,102
Delaware,1823,119
Delaware,1824,153
Delaware,1825,150
Delaware,1826,153
Delaware,1827,208
Delaware,1828,205
Delaware,1829,76
Delaware,1830,3
Delaware,1831,19
Delaware,1832,22
Delaware,1833,19
Delaware,1836,1
Delaware,1838,1
Delaware,1839,1
Delaware,1841,1
Delaware,1842,4
Delaware,1843,1
Delaware,1845,1
Delaware,1846,1
Delaware,1847,2
Delaware,1848,5
Delaware,1849,3
Delaware,1850,6
Delaware,1851,7
Delaware,1852,2
Delaware,1853,2
Delaware,1854,8
Delaware,1855,3
Delaware,1856,16
Delaware,1857,48
Delaware,1858,6
Delaware,1859,41
Delaware,1860,20
Delaware,1861,110
Delaware,1862,109
Delaware,1863,124
Delaware,1864,131
Delaware,1865,105
Delaware,1866,207
Delaware,1867,159
Delaware,1868,106
Delaware,1869,154
Delaware,1870,125
Delaware,1871,103
Delaware,1872,640
Delaware,1873,822
Delaware,1874,593
Delaware,1875,811
Delaware,1876,749
Delaware,1877,650
Delaware,1878,644
Delaware,1879,630
Delaware,1880,639
Delaware,1881,669
Delaware,1882,623
Delaware,1883,673
Delaware,1884,452
Delaware,1885,457
Delaware,1886,471
Delaware,1887,427
Delaware,1888,598
Delaware,1889,676
Delaware,1890,523
Delaware,1891,713
Delaware,1892,705
Delaware,1893,721
Delaware,1894,717
Delaware,1895,725
Delaware,1896,573
Delaware,1897,792
Delaware,1898,1011
Delaware,1899,722
Delaware,1900,897
Delaware,1901,1028
Delaware,1902,702
Delaware,1903,359
Delaware,1904,375
Delaware,1905,362
Delaware,1906,363
Delaware,1907,375
Delaware,1908,362
Delaware,1909,360
Delaware,1910,407
Delaware,1911,408
Delaware,1912,421
Delaware,1913,407
Delaware,1914,418
Delaware,1915,415
Delaware,1916,162
Delaware,1917,101
Delaware,1918,102
Delaware,1919,102
Delaware,1920,104
Delaware,1921,107
Delaware,1922,105
Delaware,total_issues,29845
